==655330== NVPROF is profiling process 655330, command: ./sciara_cuda_tiled_halo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 1000 100 1.0
==655330== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==655330== Profiling application: ./sciara_cuda_tiled_halo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 1000 100 1.0
==655330== Profiling result:
==655330== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","kernel_emitLava_halo(int, int, int*, int*, double*, int, double, double*, double*, double*)",1000,"flop_count_dp","Floating Point Operations(Double Precision)",2,2,2
"NVIDIA GeForce GTX 980 (0)","kernel_emitLava_halo(int, int, int*, int*, double*, int, double, double*, double*, double*)",1000,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows_halo(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"flop_count_dp","Floating Point Operations(Double Precision)",1314,1608528,864665
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows_halo(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"flop_count_sp","Floating Point Operations(Single Precision)",48,55384,29753
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance_halo(int, int, double*, double*, double*, double*, double*)",1000,"flop_count_dp","Floating Point Operations(Double Precision)",9543733,9572003,9558952
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance_halo(int, int, double*, double*, double*, double*, double*)",1000,"flop_count_sp","Floating Point Operations(Single Precision)",10,5150,2777
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"flop_count_dp","Floating Point Operations(Double Precision)",637,292836,146736
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_computeNewTemperatureAndSolidification_halo(int, int, double, double, double, double, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, bool*)",1000,"flop_count_dp","Floating Point Operations(Double Precision)",1375,708125,381857
"NVIDIA GeForce GTX 980 (0)","kernel_computeNewTemperatureAndSolidification_halo(int, int, double, double, double, double, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, bool*)",1000,"flop_count_sp","Floating Point Operations(Single Precision)",20,10300,5554
